date,Adj Close,final_news,sentiment
2017-09-14,748.4868774414062,iuc subsidis incumb oper relianc jio,0.999929666519165
2017-09-15,746.6686401367188,analyst investor meet outcom,0.999925971031189
2017-09-16,746.6686401367188,0.5,0.5
2017-09-17,746.6686401367188,ril revers lower key resist,0.9956966638565063
2017-09-18,749.9947509765625,0.5,0.5
2017-09-19,743.8302001953125,0.5,0.5
2017-09-20,751.4139404296875,press releas media releas,0.9988459348678589
2017-09-21,746.2694702148438,jiophonedeliveri like start weekend disclosur reg 292 sebi sast regul 2011,0.9999347925186157
2017-09-22,725.0260009765625,relianc deliv 6 mn jiophon 15 day start sunday analyst investor meet outcom,0.9999978542327881
2017-09-23,725.0260009765625,0.5,0.5
2017-09-24,725.0260009765625,weekli trade guid,0.9999551773071289
2017-09-25,728.7070922851562,0.5,0.5
2017-09-26,727.4208984375,telcom compani spread offer festiv bell toll,0.9999880790710449
2017-09-27,708.8385009765625,updat data new oil say mukesh ambani india mobil congress press releas media releas,0.9999282360076904
2017-09-28,697.57373046875,friend mukesh ambani sunil mittal achiev unimagin togeth jiophon earli refund recharg must worth rs 1500 year,0.9999734163284302
2017-09-29,692.65087890625,0.5,0.5
2017-09-30,692.65087890625,bornila chatterje hungri pose gutwrench question,0.9801756739616394
2017-10-01,692.65087890625,0.5,0.5
2017-10-02,692.65087890625,0.5,0.5
2017-10-03,708.1288452148438,0.5,0.5
2017-10-04,726.3121948242188,invest foreign telco goe smoke,0.9998910427093506
2017-10-05,731.01318359375,0.5,0.5
2017-10-06,742.4554443359375,press releas media releas board meet 13th octob 2017 ril sell stake us shale ga biz carrizo 126 mn,0.999704897403717
2017-10-07,742.4554443359375,mukesh ambani relianc industri sell us shale asset usd 126 million,0.9962704181671143
2017-10-08,742.4554443359375,0.5,0.5
2017-10-09,736.7786865234375,0.5,0.5
2017-10-10,747.9103393554688,keep kg ga output till 2020 challeng say bp,0.9997671246528625
2017-10-11,745.2051391601562,allot esop esp,0.9991990923881531
2017-10-12,774.1209716796875,0.5,0.5
2017-10-13,777.40283203125,relianc jio q2 loss rs 2705 cr statement investor complaint quarter end septemb 30 2017 complianc regul 73 secur exchang board india list oblig disclosur … consolid standalon financi result quarter half year end septemb 30 2017 certif regul 409 sebi list oblig disclosur requir regul 2015 press releas media releas,0.9999877214431763
2017-10-14,777.40283203125,standalon ebitda line rjio deliv ebit 1st quarter relianc industri ril 2qfy18 standalon ebitda rose 23 yoy 12 qoq inr1298b larg line estim inr126b pat rose 7 yoy 1 qoq inr826b estim inr882b due higher interest expens inr13b est inr94b higher tax rate 279 vs 22 1qfy18 24 2qfy17 interest expens higher due forex loss inr45b grm usd12bbl estim usd126 refin throughput,0.5
2017-10-15,777.40283203125,0.5,0.5
